Ort::REDE_GIDs;Ort::Longitude;Ort::Latitude;Ort::Name;Bogennummer;Ort::Sprache;Transliteration WS29;WS29: Stammvokal Positiv;WS29: Stammauslaut Positiv;WS29: Stammvokal Komparativ;WS29: Stammauslaut Komparativ;
34415;7,33005;48,40339;LE HOHWALD;37058;1;Unsari Barja sè nèt so hoch èjari sè vil hècher.;o;ch;è;ch;
29369;7,30732;48,6228;WANGENBOURG;36282;1;Unseri Berge sin nit so arg hoch, euri sen viel höcher.;o;ch;ö;ch;
171959;7,26992;48,75755;BOIS DE CHÊNE;36489;1;Unseri Berge sin nit sehre hoch, eeri sin viel hecher.;o;ch;e;ch;
29239;7,25159;48,91879;WEISLINGEN;36755;1;Uns'ri Berje sin nit sehr hoch, d' ejre sin viel he̲cher.;o;ch;e̲;ch;
27168;7,27065;49,0973;RIMLING;33035;1;Unséré Bérjé si̩n ni̩t sehr hŏch, ouéré si̩n viel hè̆chér;ŏ;ch;è̆;ch;
19772;7,66359;46,29695;AGARN;46129;1;Ischi Bärga sind nit so hochi, eibi sind vil hecher.;o;chi;e;ch;
96131;7,19974;49,24303;NIEDERWÜRZBACH;33185;1;Unsere Berge sinn net ser hoch, die äirer sinn viel hecher.;o;ch;e;ch;
96789;7,21036;49,40694;STEINBACH BEI OTTWEILER;31824;1;Unsere Berje sinn nett sehr hoch, die auere sinn viel heher.;o;ch;e;h;
97519;7,1428;49,58714;NOHFELDEN;14613;1;Us Berg sin nett sehr houch, auer sen viel heher.;ou;ch;e;h;
96587;7,16681;49,75594;ALLENBACH;14971;1;Us Berg sen net ärg hoch, di aure sen viel heher.;o;ch;e;h;
98569;7,12694;49,9156;KAUTENBACH;15137;1;Us Berig senn net hoch, eier senn vill höher.;o;ch;ö;h;
97954;7,07928;50,09451;BEUREN;10230;1;Os Barg seu net sier huh, auer seu vill hua.;u;h;u;;
95268;7,0778;50,26048;KALENBORN;10584;1;Os Bärg seun net sür hu, de oauer seuen vil huer.;u;;u;;
96260;7,05945;50,41231;HOHENLEIMBACH;10736;1;Oß Berg' sein net arg huh, eur sein vill hüher.;u;h;ü;h;
94431;7,03325;50,58326;GELSDORF;26155;1;Os Bereg sen net sieh huh, de ühe senn viel hu de.;u;h;u;;
535359;7,011607837;50,75523282;ROISDORF;26578;1;Oß Berg sinn net siē hu, de üre senn vell hüēte.;u;;ü;ēte;
19295;7,53458;46,48725;STIEGELSCHWAND;46118;1;Üser Bärga si nät schüchter höi, öüer si vil höiär.;ö;i;öi;;
135446;6,99248;50,9154;POLL;26763;1;He unz  Berg sinn nitt ärg hu, de ühr sinn vill huhter.;u;;u;ht;
544260;6,974307355;51,08552788;REUSRATH;23817;1;Uß Berg sind nit ärg hu, die ür sind vill hüder.;u;;ü;d;
135601;6,9077;51,25791;HUBBELRATH;24107;1;Uss Berg sind nitt arg hu͜och, de ü͜ör sind völl hü͜öjer.;u͜o;ch;ü͜ö;j ;
101223;6,89919;51,41868;HOLTHAUSEN;22910;1;Us Berg sinnt ne arg houach, de inken sinnt völl högger.;oua;ch;ö;gg;
544066;6,901533702;51,5894299;HOLTHAUSEN BEI KIRCHHELLEN;23184;1;Usse Berge sünd nech so hoch, dä inken sünd völl högger.;o;ch;ö;gg;
102304;6,86433;51,74642;ERLE;23293;1;Uise Bärge sünd nich gais  hoge, de uhnen sünd völl höger.;o;ge;ö;g;
101671;6,85711;51,90792;WESEKE;23507;1;Use Bärge sünd nich gais hoge, de unen sünd full höger.;o;ge;ö;g;
18035;7,55173;46,61887;ENTSCHWIL;45962;1;Üser Bärga si nit grüzeli höj, euer si vil höjer.;ö;j ;ö;j;
109831;6,73365;52,54624;WIELEN;20384;1;Ose Barge sind niet arg hooge, de uwwe sind völle hooger.;oo;ge;oo;g;
15405;7,53347;46,77956;GURZELEN;45863;1;Üsi Bärge si nid so grüsli höch, eui sy viel höcher.;ö;ch;ö;cht;
20880;7,53639;46,9425;DENTENBERG;45734;1;Ȗsi Bȃrge si nid so hȏch, ȏii si hȏcher.;ô;ch;ô;ch;
20863;7,47711;47,10073;MÜLCHI;45192;1;Üser Berge si nid so höch, euer si viel höcher.;ö;ch;ö;ch;
21142;7,46811;47,26233;GÄNSBRUNNEN;44994;1;Öisri Bärge sy nit so höch, öiri sy viel höcher.;ö;ch;ö;ch;
17342;7,43357;47,42091;HUGGERWALD;44832;1;Ēiseri Bärge sīnn nīt so hŏch, ēiēri si vīll hĕcher;ŏ;ch;ĕ;ch;
16260;7,93672;46,12324;SAAS GRUND;46142;1;Ischi Bärga sind nit sche hoch, eiwi sind viel hejer.;o;ch;e;j;
131694;7,66409;47,61258;LÖRRACH;41598;1;Eusere Bèrg si nüt arg hoch, eueri sī viel höher.;o;ch;ö;h;
127959;7,65665;47,78685;LIPBURG;41245;1;Uns’ri Berg sin̄ nitt so hoch, eueri sin̄ vièl hecher.;o;ch;e;ch;
133429;7,64962;47,93629;FELDKIRCH;41309;1;Unseri Bärg sin̄ nitt selli hoch, dië eurige sind viel hächer.;o;ch;ä;ch;
127778;7,62537;48,10625;BISCHOFFINGEN;36880;1;Unsiri Berg sin nit so hoch, eueri sin höcher.;o;ch;ö;ch;
31314;7,60713;48,28366;BINDERNHEIM;37007;1;Unsari Bărri sé néd so hoch, äiari sé fil hèchr.;o;ch;è;ch;
27113;7,54397;48,44858;MEISTRATZHEIM;36159;1;Unseri Barri se ne gor huch, eieri se vēhl hēcher.;u;ch;ē;ch;
34859;7,56378;48,61325;FURDENHEIM;36309;1;Üunsri Ba̬rje sén nit ari huch déjeri sén viel héher;u;ch;é;h;
31730;7,55068;48,7751;WILSHAUSEN;36525;1;Unsere Bärri sinn net sehr hoch, eijere sinn vehl hecher.;o;ch;e;ch;
28610;7,48181;48,9216;LICHTENBERG;36772;1;Unseri Bārï senn ned su huch, Éïérï senn viăl hécher.;u;ch;é;ch;
32484;7,5068;49,10219;ROPPEVILLER;33055;1;Unsre Berije sin nit sehr hoch, de eure sinn vill hecher.;o;ch;e;ch;
626681;7,81598522;46,28128685;HASEL;46132;1;Jschi Bärga sind sehr (hoch) heji, aber wei sind vill hejer. ;e;ji;e;j;
94829;7,46276;49,27843;BATTWEILER;31677;1;Unser Berje sen nett sehr hoch, die eire senn viel heher.;o;ch;e;h;
534156;7,453633274;49,44090624;DIETSCHWEILER;32019;1;Unsere Berge sein nicht sehr hog, die euren sind viel höher.;o;g ;ö;h;
534301;7,436449875;49,61119749;ERZWEILER;14635;1;Os Berg sinn net se hoch, die aure sinn vel heher;o;ch;e;h;
101007;7,39191;49,77036;BERSCHWEILER BEI KIRN;14999;1;Us Berg sinn nett sehr hoch, die aure sinn viel höcher.;o;ch;ö;ch;
100656;7,40287;49,94174;KIRCHBERG (HUNSRÜCK);15334;1;Uns Bährig sinn nitt sehr hoch, eier sinn viel heecher.;o;ch;ee;ch;
98462;7,34404;50,10303;MÖRSDORF;10259;1;Us Berg sei net ganz so huh, die auere sei viel hia.;u;h;i;a;
96687;7,34445;50,2728;GAPPENACH;10601;1;Os Berg sein net siehr huh, de uhre sein vill hieher.;u;h;ie;h;
96238;7,30554;50,44882;KELL;25798;1;Os Berige sein net arig hu, die Euere sein vil hüher.;u;;ü;h;
96207;7,27917;50,58777;OHLENBERG;26178;1;Os Berg' sen nit arg huh, die ühr sen vill hüter;u;h;ü;t;
535365;7,264558119;50,77189993;GEISTINGEN;26604;1;Uhs Berg senn net sihr huh, de ühren senn vell hüher.;u;h;ü;h;
135100;7,25578;50,93839;HEILIGENHAUS;27003;1;Ŏhs Bèrig sén nét‿e su hu, dé üher sén hühter.;u;;ü;h;
535471;7,21868086;51,10219986;(STOLZENBERG);23843;1;Uhs Berg' sennt net arg huh, d'üĕren sennt völl hüder.;u;h;ü;d;
136207;7,19655;51,27156;BARMEN;24134;1;Usse Berge sind nitt arg hoach, de önken sind völl högger.;oa;ch;ö;gg;
101667;7,14475;51,42633;DAHLHAUSEN;22931;1;Unsere Biärge sind nich sehr houge, de inken sind vürl höger.;ou;ge;ö;g;
103406;7,13741;51,59252;HERTEN;23191;1;Usse Biage sind nich ganz grout, dä inkn sind weöl hähger.;;;ä;hg;
102730;7,13224;51,75267;HOLTWICK;23402;1;Use Biärge sint nich so hoch as de inken, de uhen sind vil högeder.;o;ch;ö;ged;
544165;7,090871267;51,94956678;STOCKUM BEI COESFELD;23453;1;Usse Biärg sitt nich wahn hauch, deh uhen sitt vull höchter.;au;ch;ö;cht;
534268;7,067507287;52,15805324;WEXT;20090;1;Use Biärge sind nich ganß hoge, de u'en sind full högger.;o;ge;ö;gg;
543781;7,064048835;52,26572224;BARDEL;20240;1;Use berge zint nig heel hoog, de jouen zint völ hööger.;oo;g;öö;g;
543795;7,047183947;52,43692249;FRENSDORF;20346;1;Use Barge sind nich heel hoag, de ju sind völl häuger.;oa;g;äu;g;
19696;7,83214;46,63635;SAXETEN;45980;1;Üser Bärga sin nid eso höi, öüer si(n) viel höijer.;öi;;öi;j;
106742;6,95028;52,57618;HOOGSTEDE;20446;1;Unse berge sint nich heel hoog, de ouwe sint völ höger.;oo;g;ö;g;
546242;7,778154595;46,78695117;LINDEN (OBERLANGENEGG);45878;1;Üser Berge si nit grad höch, euer si viil höcher.;ö;ch;ö;cht;
20765;7,77862;46,95165;OBERFRITTENBACH;45764;1;Üsi Bärge si nid so höch, eui si viu höcher.;ö;ch;ö;ch;
18984;7,75229;47,11468;BLEUEN;45312;1;Üsi Bärge si nit sehr höch, euer si viu (viel) höcher.;ö;ch;ö;ch;
18840;7,71686;47,29035;OENSINGEN;45009;1;Üsi Bärge si nid so höch, öji si viu höcher.;ö;ch;ö;ch;
19343;7,70742;47,43095;ZIEFEN;44851;1;Eusi Bärge si nitt grad höch, eui si vill höcher.;ö;ch;ö;ch;
19556;8,11373;46,16129;ZWISCHBERGEN;46143;1;Jschi Bärga sind nit seli hehji, ewwi sind viell hejär. ;eh;ji;e;j;
130474;7,94873;47,62902;HÜTTEN;41623;1;Äus Bärg sind it è so höch, euji sind viel hȫcher.;ö;ch;ȫ;ch;
131987;7,91301;47,80054;UTZENFELD;41262;1;Isi Berg sin it selli hoch, eie sin viel hecher.;o;ch;e;ch;
128554;7,90831;47,96423;KAPPEL;41336;1;Üsere Berg sind nit sölli hoh, die euera sind viel höher.;o;h;ö;h;
134007;7,88416;48,12924;MALECK;36898;1;Unseri Berg sie nit sehr hoch, die euere sin viel höcher.;o;ch;ö;ch;
132276;7,85658;48,27938;SCHMIEHEIM;37025;1;Unsri Bärg sin̄ nit so hoch, euri sin̄ vill höcher.;o;ch;ö;ch;
132470;7,83364;48,46521;MÜLLEN;36178;1;Ŭnsérĭ Bè̆rg sĭn nĭt ărg hōch, é͡iri sĭn vīl hé̄cher.;ō;ch;é̄;ch;
535446;7,800596219;48,61004415;RUPRECHTSAU;36334;1;Unsere Berj sĭn nĕtt ārig hoch, eire sĭn viel hȫcher.;o;ch;ȫ;ch;
30134;7,81552;48,78159;MARIENTHAL;36552;1;Unsri Barri sén nét arich huch, äiri sén viel hécher.;u;ch;é;ch;
29006;7,76782;48,95111;GOERSDORF;36789;1;Unsere Berj sind nit arj hoch, eure sind viel höcher.;o;ch;ö;ch;
100274;7,77869;49,15063;DAHN;33064;1;Unsèr Bärick sinn nit orig hoch, euère sinn vel häher.;o;ch;ä;h;
19725;8,01442;46,3349;BITSCH;46127;1;Inschi Bärga sind nit so setteg heii, eiwi sind vieu heier. ;eii;;e;i;
96973;7,71516;49,31178;HELTERSBERG;31695;1;Unser Berje sinn net so ārig (sehr) hog, die eirre sinn vehl (viel) höjer.;o;g;ö;j;
95390;7,69141;49,47033;SIEGELBACH;32040;1;Unsere Berje sinn net sehr hok, die eire bin viel höher.;o;k;ö;h;
99617;7,69526;49,62895;NUSSBACH;14670;1;Unser Bērje sein nett arig hōk, auere sein vél héhèr.;ō;k;é;h;
98789;7,64796;49,7846;BAD SOBERNHEIM;15018;1;Uns Berg sinn nit so hoch, die eire sinn viel heher.;o;ch;e ;h;
96652;7,64098;49,98645;ELLERN (HUNSRÜCK);15349;1;Us Berig sin nit so arig hoch, auere sin viel höcher.;o;ch;ö;ch;
94920;7,633;50,12291;BADENHARD;10275;1;Us Berge sen=et sehr hoch, die aure sen viel höjer.;o;ch;ö;j;
101126;7,61816;50,28044;RHENS;10621;1;Os Berig sein net sihr huh, die euer sein vill huher.;u;h;u;h;
95124;7,59824;50,45682;STROMBERG;25824;1;Os Bärge sei nett sihr hu, uhr sein vill hüher.;u;;ü;h;
96159;7,56153;50,62782;SEIFEN;26205;1;Os Berg sen net sier hu, de ihr sen vill hüher.;u;;ü;h;
134372;7,51208;50,78124;HERCHEN;26627;1;Uhs Berg sen net ärg hu, de ühre sen vill hüer.;u;;ü;;
15672;8,1432;46,42441;FIESCHERTAL;46119;1;Inschi Bärga sind nit heji, ewi sind viuw hejär.;e;ji;e;j;
134961;7,52408;50,94416;FAULMERT;27025;1;Us Berge seng net arg hohe, de üren seng vel höher.;o;he;ö;h;
544279;7,482521669;51,11069717;OBERKLÜPPELBERG;23858;1;Unse Biärge sidd nich arg hoge, de enken sidd vel höger.;o;ge;ö;g;
544345;7,439350364;51,27752811;DELLE;24156;1;Unsre Biärge sind ganz ho͜auge, dä inken sind vill högger.;o͜au;ge;ö;gg;
544034;7,440652873;51,45810976;LANGELOH;22965;1;Use Bi͡ärge sind nit sähr ho͡auge, de inken sind vi̇̈͡ël högger.;o͡au;ge;ö;gg;
102331;7,39916;51,62422;WALTROP;23207;1;Usse Biärge sint nit ganz huoge, dä inken sint vüöll högger.;uo;ge;ö;gg;
103922;7,39511;51,76309;SEPPENRADE;23412;1;Usse Biärge sind düftig haug, die inken sind viel högger.;au;g;ö;gg;
103416;7,35441;51,92822;NOTTULN;23466;1;Usse Bierg sind nich düftig hauch, de juhen sind vull höcher.;au;ch;ö;ch;
101194;7,29517;52,11388;LEER;20099;1;Usse Biärge sinnt nich wahn (stump so) haug, de ju'en sinnt vull högger.;au;g;ö;gg;
102505;7,31817;52,25446;HADDORF;20248;1;Use Biärge sind nich duon hauge, de jue sind vul häuger.;au;ge;äu;g;
107832;7,31002;52,4517;ELBERGEN;20350;1;Use Barge sind nich donne hach, de juwe sind vull häger.;a ;ch;ä;g;
16779;8,03463;46,62436;GRINDELWALD;80004;1;Yser Bärga syn nid grad uberuus heih, ewwer syn viel heijer.;ei ;h;ei;j;
115474;7,26965;52,60078;GEESTE;20454;1;Use Bärge sünd nich rech hoch,de͜ï̇ jo͜uen sünd väl höger.;o;ch;ö;g;
105553;7,24493;52,79004;HAREN (EMS);20543;1;Use Bärge bünt nig dane hog, joue bünt vǟle höger.;o;g;ö;g;
115530;7,23473;52,97142;NEUDERSUM;20589;1;use Berge bünd nich gans hoch, däi jauen sünd väle höger;o;ch;ö;g;
104986;7,20615;53,12109;HEERENLAND;47189;1;Unse Bargen bünt neet heel hoch, diene sünt völ hoger.;o;ch;o;g;
104449;7,17054;53,43708;CIRKWEHRUM;47650;1;"Uns bargen zünt nÿt hÿl hoog; jo͡eze zünt vööl hoger.";oo;g;o;g;
116568;7,14249;53,5993;ITZENDORF;48342;1;Uns' bargen sünt neet ganz (heel) hoch, jo's sünt völ hoger.;o;ch;o;g;
104236;7,14497;53,70519;NORDERNEY;48282;1;Uns' bargen sünd ne hel hoch, jos sünd völ höger.;o;ch;ö;g;
17051;8,03502;46,82127;SÖRENBERG;45891;1;Üsi Bärge si ned grad hööch, eu-i si viel höcher.;öö;ch;ö;ch;
15052;8,01947;46,95361;SCHÜPFHEIM;45784;1;Üsi Bärg si nid gar höch, euji si vil höcher.;ö;ch;ö;ch;
20018;7,99288;47,12224;WILLISAU;45299;1;Eüsi Bärg sind ned usinnig höch, eüi sind viel höcher.;ö;ch;ö;ch;
18911;7,98008;47,30166;MÜHLETHAL;45022;1;öisi bä̀rge sind net so höch, öije suid viel hö̀ö̀cher.;ö;ch;ö̀ö̀;ch;
14921;7,94157;47,45097;ANWIL;44858;1;Öisi Bärge si nit eso grüstig höch, öii si vill höcher.;ö;ch;ö;ch;
133937;8,18086;47,6336;ESCHBACH;40637;1;Üse Berg sind nit gar hoch, die eura sind viel höcher.;o;ch;ö;ch;
546039;8,177056956;47,79865784;SCHLUCHSEE - BLASIWALD;41275;1;Ǖsi Bḗrg sind it sö̆li hōch, eui sind viel höcher.;ō;ch;ö;ch;
132801;8,16331;47,98172;WALDAU;41086;1;Īserri Berg sin͡ itt sélli hoch, euiri sin vīl höer.;o;ch;ö;;
129888;8,0932;48,15752;YACH;36911;1;Isèri Bèrga sin nit sélli hoh, eüri sin viel häiar.;o;h;äi;;
131725;8,07369;48,29315;BOLLENBACH;37035;1;Unseri Berg sin nit arg ho, eueri sin viel höier.;o;;öi;;
128437;8,08784;48,49713;ÖDSBACH;36272;1;D’ unseri Berg si̮n nit so hoch, d’ eueri si̮n hächer.;o;ch;ä;ch;
130859;8,06363;48,62871;ACHERN;36348;1;Unsre Berg sin nit arg hoch, eiere sin viel hècher.;o;ch;è;ch;
36426;8,05803;48,80321;FORT-LOUIS;36567;1;Uns’ri Berri sin nit arich hah, die èjéré sin viel hech’r.;a;h;e;ch;
25854;8,04269;48,95814;SIEGEN;36823;1;Uns’r Ba̱ri̮k sin nit so hoch, eiri sin viel hécher.;o;ch;é;ch;
93935;8,00686;49,13025;GLEISZELLEN;33102;1;Unser Berg sinn nit sou houch, euer sinn viel höicher.;ou;ch;öi;ch;
95870;8,00924;49,26181;RAMBERG;31700;1;Unsere Berg sin net so arg houch, die euere sin vēl höicher.;ou;ch;öi;ch;
534148;7,938705171;49,49097128;ALSENBORN;32053;1;Unsre Berje sinn net sehr hoch, die eure sinn viel höher.;o;ch;ö;h;
97006;7,94492;49,62669;DANNENFELS;14693;1;Unsere Berje sein nett so arig hok, euere sein vehl höher.;o;k;ö;h;
98807;7,92068;49,79459;NEU-BAMBERG;15042;1;Unser Bäärig sein nett so hoock auere sein vehl heher.;oo;ck;e;h;
99926;7,89616;49,96901;BINGEN AM RHEIN;15365;1;Unser Berg se͡in nitt arig hoch, aiere se͡in viel heher.;o;ch;e;h;
95227;7,88739;50,1322;WELTEROD;10300;1;Us Berje senn nett sihr huk, dej äjer senn vill heher.;u;k;e;h;
96321;7,87712;50,29247;ATTENHAUSEN;10649;1;Us Bärge senn net org huch, dei ouern senn vill hiher.;u;ch;i;h;
97399;7,83027;50,46395;STAUDT;25845;1;Oß Berje sein net siha hü ' d aua sein vill hiha;ü;;i;h;
94397;7,82891;50,63867;GEHLERT;26228;1;Us Berge sein nitt sehr huch, die auern sein viel hücher.;u;ch;ü;ch;
99155;7,80396;50,77583;MITTELHOF;26642;1;Aus Berje senn net su huh, de euer senn vill häjer.;u;h;ä;j;
20610;8,30435;46,50637;ULRICHEN;46009;1;Inschy Bärga sind nit so höjy, dihrigu sind vill höier.;ö;jy;öi;;
135882;7,76182;50,96107;HAHNSEIFEN;27038;1;Us Berg seng net sehr hoh, de üern seng vill höher.;o;h;ö;h;
101712;7,75338;51,12;VALBERT;23873;1;Unse Biärge sind nit sehr hoge, de inke sind viel höger.;o;ge;ö;g;
103687;7,67985;51,28832;ALTENA;24167;1;Unse Berre sind nit ganz hauge, dre inken sind vīěl högger.;au;ge;ö;gg;
102743;7,72969;51,46063;HALINGEN;22990;1;U͜ise Biärge sinnt nitt seer hiauge, de iuen (inken) sinnt vi͜ell höggter.;iau;ge;ö;ggt;
103160;7,66172;51,59444;KAMEN;23218;1;Use Bi͜ärge sind nit sehr hä͜uge, dei inken sind vi͜el högger.;ä͜u;ge;ö;gg;
102429;7,5934;51,81826;DAVENSBERG;23419;1;Urse Biärg sind nich düftig hoch, de juen sind högger.;o;ch;ö;gg;
101405;7,61785;51,96303;MÜNSTER;23471;1;Usse Biärge sint nich sehr hauge, jue sint viäl höchter.;au;ge;ö;cht;
543703;7,588860605;52,12498586;HERBERN;20110;1;Use Biärge send nig sehr hauge, de juhen send viel höchter.;au;ge;ö;cht;
103272;7,58042;52,29816;HÖRSTEL;20259;1;Usse Berge sünd nig ganz hoge, de juhen sünd vöäl höger.;o;ge;ö;g;
543796;7,575270716;52,47498927;SETLAGE;20361;1;Use Barge sind nich donne hoch, jue sind vull höger.;o;ch;ö;g;
20369;8,28997;46,65467;GUTTANNEN;45992;1;Yser Bärge syn nid eso hoch, ewwer syn vil heecher.;o;ch;ee;ch;
110942;7,58304;52,64501;DOHREN;20463;1;Use Bärge bünt nich so hoch, jouhe bünt väl höger.;o;ch;ö;g;
109461;7,5504;52,78572;HÜVEN;20555;1;Use Berge bünd nicht sehr hoch, jaue bünd väle höger.;o;ch;ö;g;
110403;7,44966;52,95796;NEUBÖRGER;20596;1;Use Barge bünd nich ganz hoge, joe bünd vel höger.;o;ge;ö;g;
116005;7,44007;53,13135;STEENFELDE;47203;1;Unse Bargen sünt nig heil hoog, yoüse bünt völ hoger.;oo;g;o;g;
105688;7,43783;53,30502;NEERMOOR;47447;1;Unse Bargen sünd neet heel hoch, johse sünd vöol hoger.;o;ch;o;g;
114218;7,39969;53,44123;WESTERENDE-HOLZLOOG;47657;1;Unse Barg'n sünd nich heel hoch, joh's sünd voel hoger.;o;ch;o;g;
107815;7,3911;53,60903;ARLE;48356;1;Uns Bargen sünd neet heel hoch, joos sünd föl hoger.;o;ch;o;g;
107919;7,38496;53,72648;BALTRUM-OSTDORF;48283;1;Uns Barg'n sünd nich hel hoch, jos sünd völ hocher.;o;ch;o;ch;
15374;8,15956;46,78539;LUNGERN;45892;1;Iis'r Bärgä sind nid ä sevel heech, ewwer sind vil heeche'r;ee;ch;ee;ch;
20613;8,21008;47,00992;EIGENTHAL;45195;1;Üsi Bärge send ned höch, eui send vell höcher.;ö;ch;ö;ch;
17289;8,22909;47,15072;HILDISRIEDEN;45279;1;Ensi Bärg sind nid höch, eui sind vil höcher.;ö;ch;ö;ch;
16367;8,22892;47,295;MEISTERSCHWANDEN;45067;1;Ŏisi Bärge sìnd èso höch, ö̀iji sìnd vìle höcher.;ö;ch;ö;ch;
20355;8,19271;47,48341;UMIKEN;44888;1;Eusi Bärge sīnd ned eso höch, eui sind vīel höcher.;ö;ch;ö;ch;
129007;8,42011;47,66108;ERZINGEN;40655;1;Unsere Berg sind nit seli hoh, die eura sind viel höher.;o;h;ö;h;
131887;8,39596;47,82501;MÜNCHINGEN;40844;1;"Üsi Berg sind itt hoch; ăij sind viel höcher.";o;ch;ö;ch;
133559;8,38827;47,96002;HUBERTSHOFEN;41098;1;Isare Berg sind nit selli hoh, eire sind vill hehr.;o;h;e;h;
132924;8,37655;48,16035;BUCHENBERG;37119;1;Ḭ̄sără Berg sen net so hoch, die eiwară sen viel höher.;o;ch;ö;h;
129571;8,37253;48,31105;SCHENKENZELL;37388;1;"Eiseri Berg sin̄ nitt arg hō; di eiere sin̄ vḛil haier.";ō;;ai;;
535438;8,318877104;48,47427737;KNIEBIS (KR.FREUDENSTADT);36202;1;Ḛisere Bèrg senn net so arg hoch, de eire sénn veil hécher.;o;ch;é;ch;
128211;8,34869;48,63918;RAUMÜNZACH;37902;1;"Unseri Berg sin nit so hoch; d’eiere sind viel hecher.";o;ch;e;ch;
129232;8,30895;48,81087;BAD ROTENFELS;36594;1;Unsere Berg sin nit so hoch, euere sind viel höcher.;o;ch;ö;ch;
134177;8,26776;48,96981;NEUBURGWEIER;36842;1;Unsere Berg’ sinn nicht sehr hoch, d’ eure sinn viel höher.;o;ch;ö;h;
95790;8,25289;49,15197;HERXHEIMWEYHER;33111;1;"Unser Berg sinn nit sou houch; eieri sinn vel (höühcher) höicher.";ou;ch;öi;ch;
17027;8,49372;46,31601;BOSCO;80023;1;Iaš Barga sén net štrang hō, ew sén fél hēchar.;ō;;ē;ch;
98557;8,25607;49,30486;GEINSHEIM;31719;1;Unser Berk sinn net arg hoch, euri sinn viel höcher.;o;ch;ö;ch;
100047;8,22634;49,48944;ERPOLZHEIM;32067;1;Unsere Berje sinn net so hoch, eire sinn viel höcher.;o;ch;ö;ch;
98182;8,20454;49,63649;MONSHEIM;14724;1;Unser Berje sein net so hoch, die eieren sein viel höher.;o;ch;ö;h;
100524;8,19083;49,80215;BECHTOLSHEIM;15066;1;Unser Berje sein nett so aarg hoch die eure sein vel höhjer.;o;ch;ö;hj;
94365;8,1754;49,98368;FINTHEN;15394;1;Unsere Berge sein nit sehr hoch, die euere sein viel höcher.;o;ch;ö;ch;
96664;8,14118;50,13996;BLEIDENSTADT;10315;1;Unser Be(a)rge sinn nitt sehr huch, die eiern sinn vill hiherr.;u;ch;i;h;
94966;8,10998;50,31601;HERINGEN;10663;1;Us Berje sen net su huch wäi die auern, auer sen hécher.;u;ch;é;ch;
98421;8,10298;50,47351;STEINBACH;25876;1;Us Berge sen net sehr huch, de i auern sen viel höer.;u;ch;ö;;
93991;8,08253;50,64513;WAIGANDSHAIN;26261;1;Us Berge sei net org hug, au'r sei vill hicher.;u;g;i;ch;
102925;8,07045;50,80893;WILDEN;26664;1;Ohs Berj säng nett sihr huech, de au säng fill hiejer.;ue;ch;ie;j;
