CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;DE01;DE02_01;DE03;DE04_01;DE04_02;DE04_03;DE04_04;DE05;DE06;DE07_01;SA01;SA01_01;SA01_02;SA01_03;SA01_03a;SA02;SA02_01;SA02_02;SA02_03;SA02_03a;SA03;SA03_01;SA03_02;SA03_03;SA03_03a;SA04;SA04_01;SA04_02;SA04_03;SA04_03a;SA05;SA05_01;SA05_02;SA05_03;SA05_03a;SA06;SA06_01;SA06_02;SA06_03;SA06_03a;SO01;SO01_01;SO01_02;SO01_03;SO01_03a;SO02;SO02_01;SO02_02;SO02_03;SO02_03a;SO03;SO03_01;SO03_02;SO03_03;SO03_03a;SO04;SO04_01;SO04_02;SO04_03;SO04_03a;SU01;SU01_01;SU01_02;SU01_03;SU01_03a;SU02;SU02_01;SU02_02;SU02_03;SU02_03a;SU03;SU03_01;SU03_02;SU03_03;SU03_03a;SU04;SU04_01;SU04_02;SU04_03;SU04_03a;SU05;SU05_01;SU05_02;SU05_03;SU05_03a;SU06;SU06_01;SU06_02;SU06_03;SU06_03a;SD01;SD01_01;SD01_02;SD01_03;SD01_03a;SD02;SD02_01;SD02_02;SD02_03;SD02_03a;SD03;SD03_01;SD03_02;SD03_03;SD03_03a;SD04;SD04_01;SD04_02;SD04_03;SD04_03a;SM01;SM01_01;SM01_02;SM01_03;SM01_03a;SM02;SM02_01;SM02_02;SM02_03;SM02_03a;SM03;SM03_01;SM03_02;SM03_03;SM03_03a;SM04;SM04_01;SM04_02;SM04_03;SM04_03a;AA01;AA01_01;AA01_02;AA01_03;AA01_03a;AA02;AA02_01;AA02_02;AA02_03;AA02_03a;AA03;AA03_01;AA03_02;AA03_03;AA03_03a;AA04;AA04_01;AA04_02;AA04_03;AA04_03a;AA05;AA05_01;AA05_02;AA05_03;AA05_03a;AA06;AA06_01;AA06_02;AA06_03;AA06_03a;AA07;AA07_01;AA07_02;AA07_03;AA07_03a;AA08;AA08_01;AA08_02;AA08_03;AA08_03a;AA09;AA09_01;AA09_02;AA09_03;AA09_03a;AA10;AA10_01;AA10_02;AA10_03;AA10_03a;AO01;AO01_01;AO01_02;AO01_03;AO01_03a;AO02;AO02_01;AO02_02;AO02_03;AO02_03a;AO03;AO03_01;AO03_02;AO03_03;AO03_03a;AO04;AO04_01;AO04_02;AO04_03;AO04_03a;AO05;AO05_01;AO05_02;AO05_03;AO05_03a;AO06;AO06_01;AO06_02;AO06_03;AO06_03a;AO07;AO07_01;AO07_02;AO07_03;AO07_03a;AO08;AO08_01;AO08_02;AO08_03;AO08_03a;AO09;AO09_01;AO09_02;AO09_03;AO09_03a;AO10;AO10_01;AO10_02;AO10_03;AO10_03a;AU01;AU01_01;AU01_02;AU01_03;AU01_03a;AU02;AU02_01;AU02_02;AU02_03;AU02_03a;AU03;AU03_01;AU03_02;AU03_03;AU03_03a;AU04;AU04_01;AU04_02;AU04_03;AU04_03a;AU05;AU05_01;AU05_02;AU05_03;AU05_03a;AU06;AU06_01;AU06_02;AU06_03;AU06_03a;AU07;AU07_01;AU07_02;AU07_03;AU07_03a;AU08;AU08_01;AU08_02;AU08_03;AU08_03a;AU09;AU09_01;AU09_02;AU09_03;AU09_03a;AU10;AU10_01;AU10_02;AU10_03;AU10_03a;AD01;AD01_01;AD01_02;AD01_03;AD01_03a;AD02;AD02_01;AD02_02;AD02_03;AD02_03a;AD03;AD03_01;AD03_02;AD03_03;AD03_03a;AD04;AD04_01;AD04_02;AD04_03;AD04_03a;AD05;AD05_01;AD05_02;AD05_03;AD05_03a;AD06;AD06_01;AD06_02;AD06_03;AD06_03a;AD07;AD07_01;AD07_02;AD07_03;AD07_03a;AD08;AD08_01;AD08_02;AD08_03;AD08_03a;AD09;AD09_01;AD09_02;AD09_03;AD09_03a;AD10;AD10_01;AD10_02;AD10_03;AD10_03a;TIME001;TIME002;TIME003;TIME004;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME020;TIME021;TIME022;TIME023;TIME024;TIME025;TIME026;TIME027;TIME028;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
120;;;akz;interview;2022-07-09 13:43:24;1;;;24;Kiel;24114;Deutschland;1;2;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;2;2;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;3;5;;;17;13;;5;38;21;26;16;15;28;17;23;17;10;18;15;13;13;15;8;19;15;8;378;;2022-07-09 13:49:42;1;0;28;28;0;0;1,02;6
121;;;akz;interview;2022-07-09 13:48:52;1;;;24;Altenholz ;24161;Deutschland ;1;2;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;2;5;;;19;6;;3;33;15;12;11;4;4;5;4;4;3;4;3;2;4;4;2;4;3;2;158;;2022-07-09 13:51:30;1;0;28;28;0;0;2,47;113
122;;;akz;interview;2022-07-09 14:25:58;2;Ukrainisch;3;28;Tschernihiv;14000;Ukraine ;1;2;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;23;16;24;17;46;19;;29;52;42;42;25;42;35;46;45;12;6;13;21;6;9;14;4;9;12;7;547;;2022-07-09 14:36:14;1;0;28;28;0;0;0,84;8
130;;;akz;interview;2022-07-09 15:59:52;1;;;22;Brunsbüttel;25541;Deutschland;1;1;Nordisch?;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;7;3;;;27;11;12;19;28;25;21;12;12;16;16;19;16;19;20;10;8;8;13;6;15;9;7;359;;2022-07-09 16:05:51;1;0;28;28;0;0;1,09;9
132;;;akz;interview;2022-07-09 18:57:11;1;;;24;Münster;48167;Deutschland;1;2;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;3;3;;;15;8;;8;17;15;11;7;7;14;9;21;16;9;12;13;16;14;12;11;17;10;7;275;;2022-07-09 19:01:46;1;0;28;28;0;0;1,35;19
137;;;akz;interview;2022-07-10 07:07:48;1;;;52;Gundheim;67599;Deutschland ;1;1;Rheinhessisch;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;4;5;;;40;7;11;12;23;12;16;6;9;16;15;29;15;9;14;10;6;7;9;4;11;8;5;303;;2022-07-10 07:12:51;1;0;28;28;0;0;1,36;19
138;;;akz;interview;2022-07-10 09:18:36;1;;;33;Hamburg;22393;Deutschland;1;2;;1;2;1;1;;2;2;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;10694;4;;;16;9;;11;28;22;8;4;3;5;5;13;11;6;10;10;4;9;8;7;12;13;4;227;;2022-07-10 12:20:32;1;0;28;28;0;0;1,7;43
140;;;akz;interview;2022-07-10 12:09:01;1;;;61;Bern;3008;Schweiz;2;1;Berndeutsch;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;4;5;;;26;8;8;7;24;14;12;11;13;11;13;21;11;8;10;9;5;9;8;7;11;10;7;272;;2022-07-10 12:13:33;1;0;28;28;0;0;1,38;19
146;;;akz;interview;2022-07-10 22:47:56;1;;;33;Berlin;13509;Deutschland;2;1;Westfälisches Platt;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;3;;;26;3;14;6;23;15;17;10;15;20;14;21;12;8;16;10;8;42;11;5;14;10;7;303;;2022-07-10 22:53:27;1;0;28;28;0;0;1,35;24
148;;;akz;interview;2022-07-11 03:06:44;1;;;24;Kiel;24109;Deutschland;2;1;Nedderdüütsch;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;1;2;Narks;1;2;1;1;;1;1;1;2;Nasten;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;1;2;Nangen;1;2;1;1;;1;1;1;2;Mahs;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;1;2;Nosten;1;1;2;1;;1;1;1;2;Moten;1;2;1;1;;1;1;1;2;Nolen;1;1;2;1;;1;1;1;2;Nohen;1;1;2;1;;1;1;1;2;Nurken;1;2;1;1;;1;1;1;2;Nusten;1;2;1;1;;1;1;1;2;Luten;1;2;1;1;;1;1;1;2;Mulen;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;1;2;Laurks;1;1;2;1;;1;1;1;2;Nausten;1;1;2;1;;1;1;1;2;Nauten;1;1;2;1;;1;1;1;2;Naulen;1;2;1;1;;1;1;2;1;;2;5;;;16;9;6;14;19;36;19;24;18;33;23;112;57;36;49;46;16;35;78;9;62;41;17;434;;2022-07-11 03:19:47;1;0;28;28;0;0;0,76;7
150;;;akz;interview;2022-07-11 08:37:27;1;;;48;Duisburg;47228;Deutschland;1;2;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;3;6;;;16;9;;10;25;19;21;10;9;12;19;24;20;10;14;13;7;12;13;7;33;43;49;334;;2022-07-11 08:44:11;1;0;28;28;0;0;1,06;8
151;;;akz;interview;2022-07-11 09:14:05;1;;;37;Versmold;33775;Deutschland;2;2;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;1;2;-;1;1;1;2;-;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;6;4;;;25;7;;12;18;13;17;12;11;27;34;42;30;14;20;24;10;41;16;8;76;17;9;407;;2022-07-11 09:22:18;1;0;28;28;0;0;0,89;5
153;;;akz;interview;2022-07-11 10:13:29;1;;;34;Potsdam;14469;Deutschland;1;2;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;1;2;nastiger;1;2;1;1;;1;1;2;1;;1;2;1;1;;2;2;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;25;4;;;26;9;;7;19;12;26;12;17;42;18;36;22;9;14;25;17;21;19;33;16;16;10;410;;2022-07-11 10:21:05;1;0;28;28;0;0;0,9;5
154;;;akz;interview;2022-07-11 10:24:38;1;;;36;Salzatal;'06198;Deutschland;1;1;Berlinisch;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;1;2;Laurken;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;2;4;;;18;6;12;11;27;21;19;13;12;18;23;27;491;10;14;13;6;11;16;8;98;16;10;353;;2022-07-11 10:39:44;1;0;28;28;0;0;1,04;8
155;;;akz;interview;2022-07-11 10:33:15;1;;;42;Augsburg;86153;Deutschland;2;1;Vorarlberger Alemannisch;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;3;6;;;13;5;8;1225;13;32;519;15;20;19;72;26;20;9;14;13;6;13;60;6;53;16;10;350;;2022-07-11 11:09:51;1;0;28;28;0;0;0,97;10
156;;;akz;interview;2022-07-11 10:42:12;2;Chinesisch(Mandarin);2;28;Göttingen;37075;Deutschland;-9;2;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;2;1;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;1;2;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;1;2;1;1;;1;1;2;1;;2;4;15;14;10;10;;20;32;13;19;12;10;16;9;14;9;6;13;10;5;17;8;11;12;10;9;310;;2022-07-11 10:47:22;1;0;28;28;1;1;1,35;21
