Korrekturstatus;Quadrant;Bogennummer;REDE_Namen;Name;Longitude;Latitude;REDE_GIDs;Sprache;Herkunft;Erhebung;Allgemeine Anmerkungen zum Schreiber;WS26:Wortform;WS26:Stammvokal;WS26::Transliteration WS26;WS26::Anmerkungen WS26;WS33:Wortform;WS33:Stammvokal;WS33::Transliteration WS33;WS33::Anmerkungen WS33
korr.: Link;16/26;10351;Brandscheid;BRANDSCHEID;6,31001;50,22124;95212;1;Marburg;2;Kurrent;Haus;au;Hinner isem Haus stinn drei schiner Apelbämcher mat ruten Apelcher.;;Haiser;ai;Seen Brouder well sech zwe schinger Haiser an eurem Gourt bauen.;
korr.: Link;17/26;10368;Büdesheim;BÜDESHEIM;6,55753;50,21722;97121;1;Marburg;1;Kurrent;Hous;ou;Haonner ousem Hous stīn dreï schīner Äbĕlbēmcher mat ruden Aebelcher.;;Houser;ou;Seï Brouder wält sich zwēī schiner neuer Houser aon euern Gaoden boen.;
korr.: Link;18/26;10381;Waldkönigen;WALDKÖNIGEN;6,7955;50,23069;97404;1;Marburg;2;Kurrent;Hous;ou;Hônner osem Hous stiehn dre-i schühner Ääpelböhmcher môt ruhden Ääpelcher.;;Höüßer;öü;Se-i Brohder well sech zwei schühner neuer Höüßer ôn eûrem Jôhrde bouen.;
korr.: Link;57/42;1050;Krostkowo;KROSTKOWO;17,19502;53,11046;370259;1;Marburg;1;"Kurrent; e und n sind schwer auseinanderzuhalten";Hus;u;Hine u sem Hus staun drei grel Apelböm mit rode Apel.;;Hüse;ü;Sie Brode wi sik twe jrel Hüse i jungem Gaude buge;
korr.: Link;19/26;10584;Kalenborn;KALENBORN;7,0778;50,26048;95268;1;Marburg;1;Kurrent;Hoaus;oau;Hönner osem Hoaus stien dreu schunner Äbbelbäum met ruden Äbbelcher.;;Häuser;äu;Seu Brodder well sech zwei scheuner neuer Häuser in oaurem Goarten boauen.;
korr.: Link;20/26;10601;Gappenach;GAPPENACH;7,34445;50,2728;96687;1;Marburg;2;Kurrent;Haus;au;Henner osem Haus stin drei schene Appelbämche met rude Äppelche.;;Häuser;äu;Sei Broder well sech zwei schene naue Häuser en uhrem Goorde baue.;
korr. Link;21/26;10621;Rhens;RHENS;7,61816;50,28044;101126;1;Marburg;1;Kurrent;Haus;au;Henner onsem Haus stien drei schöne Appelbämcher met ruthe Aeppelcher.;;Häuser;äu;Sei Broder well sech zwei schune neue Häuser en euerm Gorde baue.;
korr. Link;22/26;10649;Attenhausen;ATTENHAUSEN;7,87712;50,29247;96321;1;Marburg;1;Kurrent;Hous;ou;Henna usem Hous stehn drä schene Äpelbemcher met rure Äpelcher.;;Häiser;äi;Sein Broura well sich zwa schene näie Häiser en auam Gorte baue.;
korr.: Winter, überprüft: Link;23/26;10663;Heringen;HERINGEN;8,10998;50,31601;94966;1;Marburg;1;Kurrent;Haus;au;Hen̄er unserm Haus stihn drei schine Äppelbehm mit rure Äppel.;;Häuser;äu;Sei Brourer will sich zwa schine naue Häuser en auern Gorde baue?;
korr.: Link;16/27;10690;Honsfeld;HONSFELD;6,28038;50,38149;11763;1;Marburg;3;Kurrent;Hus;u;Henter os Hus stohn drei schuner Aepelbömcher met ruden Äpelcher.;;Huser;u;Sie Broder wellt sich zwei schun nö Huser en ören Jard boen.;
korr.: Link;17/27;10697;Dahlem;DAHLEM;6,54324;50,3815;135306;1;Marburg;3;Kurrent;Hus;u;Henner osem Hus stoon drie schüner Äpelbömcher met ruede Äppelcher.;;Huser;u;Se Broder wel sech zwei schüener neuer Huser en ürem Garde baue.;neuer: ö über eu, Alternative nöer?
korrigiert: Link;18/27;10709;Aremberg;AREMBERG;6,80584;50,41498;95727;1;Marburg;2;Kurrent;Hous;ou;Honeig osem Hous stohn drei schunne Appelbäumen mott ruden Äppeldchen.;;Höuser;öu;Seag Broder well sech zwei schunne neuä Höuser en ürä Gadä bauen.;
korrigiert: Link;19/27;10736;Hohenleimbach;HOHENLEIMBACH;7,05945;50,41231;96260;1;Marburg;2;Kurrent;Haus;au;Henner ohsem Haus stohn drei feine Appelbömcher met rude Appelcher.;;Häuser;äu;Sei Broder well sech zwei feine neue Häuser en eurem Jarde baue.;
korr.: Winter;25/30;10857;Hatzfeld (Eder);HATZFELD (EDER);8,54797;50,9931;100720;1;Marburg;1;Kurrent;Haus;au;Henner inserm Haus sti drei schön Äpelbämercher mit rohre Äpelcher.;;Haiser;ai;sei Brurer well sich zwä schine Haiser ih euwern Gorte baue.;
korr. Link;32/28;10974;Haindorf;HAINDORF;10,4237421;50,7188194;542256;1;Marburg;1;Kurrent;Huhs;uh;Hönner onsem Huhs stenn dräi schönne Äpfelsbäumerln met rothe Äpfels. ;;Hüser;ü;Süi Brouder will sich zwä neue Hüser in euern Goarte bau.;
korrigiert: Steinicke, überprüft: Link;63/46;110;Rozpedziny;ROZPEDZINY;18,9051;53,70548;373879;1;Marburg;1;"Kurrent; generell gut lesbare Schrift, jedoch Unterscheidung zwischen e und r bisweilen schwierig; auf Seite 2 nach NB nichts bemerkt";Hus;u;Hinger onsrem Hus stohne dre schöne Aeppelbömkes met rode Aeppelkes.;onsrem: Schaft-s korrigiert aus Rund-s;Hüser;ü;Sin Broder well sick twe schöne nige Hüser en junem Gorde buge.;
korr. Link;33/28;11132;Schwarzwald;SCHWARZWALD;10,72904373;50,77061604;542173;1;Marburg;1;Kurrent;Hus;u;Henger unsen Hus stenn drei schüâne Apfelbämchen met ruâten Äpfelchen. ;;Hüsser;ü;Sie Bruâder well sich zwä schiânâ Hüsser in ubbern Goârten baub.;
korr. Link;34/28;11149;Wipfra;WIPFRA;10,96938;50,75547;139789;1;Marburg;1;Kurrent;Huse;u;Henger onsern Huse stinn drei schiĕne Äpfelbeeme met rueten Äpfelchen.;;Hisser;i;Si Brodder well sich zwee schiēne neie Hisser in eiern Gorten bubbe.;
korr. Link;35/28;11180;Remda;REMDA;11,22809;50,76235;136781;1;Marburg;1;Kurrent;Hause;au;Henger unsen Hause schtih'n drei schiene Äpfelbemch'n met ruth'n Äpfeln.;;Heißer;ei;Sei Brudder wäll s'ch zwee schiene neie Heißer in eiern Garten baun. ;
korr. Link;36/28;11197;Zeutsch;ZEUTSCH;11,50488;50,7536;141792;1;Marburg;1;Kurrent;Hause;au;Hinger unsen Hause stiehn drei schiene Äpfelbämchen mit ruthen Äpfeln. ;;Heiser;ei;Sei Bruder will sich zwee schiene naue Heiser in eiern Goorten baue.;
korr. Link;37/28;11212;Breitenhain;BREITENHAIN;11,73363;50,77235;142209;1;Marburg;1;Kurrent;Hause;au;Hönger onsen Hause stiehn drei schine Äpfelbämlich mit ruthen Äpflig.;;Häuser;äu;Sei Bruder will sich zwe naue schine Häuser in euern Gorten baue.;
korr. Link;38/28;11230;Burkersdorf;BURKERSDORF;12,01318;50,78588;139629;1;Marburg;1;Kurrent;Hause;au;Hin̄er unsen Hause stiehn drä schüne Äpfelbemchen mit ruthen Äpfeln.;;Häser;ä;Sän Bruder wills'ch zwee schiene neue Häser in är'n Gorten baen.;
korr. Link;39/28;11252;Seelingstädt;SEELINGSTￃﾄDT;12,24437;50,77289;139540;1;Marburg;1;Kurrent;Haus;au;Hinter unserm Haus stiehn drei schiene Äpfelbäme mit ruthen Äpfeln.;;Häuser;äu;Sein Bruder will sich zwa schüne Häuser in euern Garten baue.;
korr. Link;32/29;11262;Seebach;SEEBACH;10,42573;50,91165;142683;1;Marburg;1;Kurrent;Hus;u;Hinger unsen Hus stihn dröi schüne Aepfenbäumerchen met ruthen Aepflerchen.;;Hüser;ü;Sin Bruder will sich zwei schüne noube Hüser in obern Garten bou.;
korrigiert: Link;58/43;1133;Debenke;DEBENKE;17,45996751;53,22049833;534921;1;Marburg;2;Kurrent;Hius;iu;Hinä usem Hius stauhä drei grell Apelbömkes mit rodä Apelkes.;;Hüse;ü;Sihe Braude wie siksch twe nig Hüse e jugem Gaude buge.;
korrigiert: Link;59/43;1139;Gliszcz;GLISZCZ;17,73634;53,22735;148600;1;Marburg;2;Kurrent;Hus’;u;Hinna usem Hus' schtauä drai gräll Äppelbömkes mit rohde Äppälkäs.;;Hüse;ü;Siä Bräude wÿ sÿk twei gräll nigg Hüse ÿ juggem Hoff bugge.;
korr. Link;33/29;11467;Boilstädt;BOILSTￃﾄDT;10,68407;50,91991;138852;1;Marburg;1;Kurrent;Hus;u;Hinger unsen Hus stinn dräi Äpfelbäum mätt ruthen Äpfelchen.;;Hüsser;ü;Sinn Brueder wäll söch zwäh schüne Hüsser in aubern Guarten bau.;
korr. Link;34/29;11485;Ingersleben;INGERSLEBEN;10,93186;50,92027;142811;1;Marburg;1;Kurrent;Huse;u;Henger onsern Huse staa dri schiêne Äpfelbeimchen mät ruothen Äpfelchen.;;Hisser;i;Si Bruader wülls ch zwä schiêne nuwe Hisser in uwern Gorten buwwe.;
korr. Link;61/43;1150;Czarze;CZARZE;18,26662;53,22211;375151;1;Marburg;1;Lateinschrift;Hus;u;Hinge onsem Hus stone dre schmok Aepelbemkes met rod Aepelkes.;;Hisee;i;Wie Broder wel sick twe schmoke nige Hisee juge Gode buje;
korr. Link;35/29;11515;Gutendorf;GUTENDORF;11,20701;50,91984;139765;1;Marburg;1;Kurrent;Hause;au;Henger onsen Hause stiehn drei schiene Äpfelbeeme.;;Heiser;ei;Sei Brodder wäll sich zwe neie Heiser in eiern Gorten baue;
korr. Link;36/29;11539;Kleinschwabhausen;KLEINSCHWABHAUSEN;11,46177;50,93317;138476;1;Marburg;1;Kurrent;Hause;au;Henger onsen Hause schtiehn drei schiene App'lbeemchen mätt ruthen Äpp'lchen.;;Heiser;ei;Sei' Bruder well sich zwee schiene neie Heiser in eiren Gaarten baue.;
korr. Link;37/29;11568;Thalbürgel;THALBￃﾜRGEL;11,74837;50,93578;136839;1;Marburg;1;Kurrent;Hause;au;Hinger onsern Hause stiehn drei schine Apelbömchen met ruthen Aepelchen. ;;Heiser;ei;Sei Bruder well sich zwe schiene naue Heiser in eirem Gorden baue.;
korr. Link;62/43;1157;Bielczyny;BIELCZYNY;18,56976;53,2111;373923;1;Marburg;1;Kurrent;Haus;au;Hinter unserm Haus stehen drei schöne Aepfelbämle mit rothe Aepfala.;;Häuser;äu;Sei Brueder will sich zwai schöne neue Häuser in eurem Garta baua.;
korr. Link;38/29;11586;Bad Köstritz;BAD KￃﾖSTRITZ;12,01155;50,92981;138178;1;Marburg;1;Kurrent;Hause;au;Hinner unsern Hause stihn drei schiene Eppelbemchen mit ruthen Eppelchen. ;;Heiser;ei;Sei Bruder will sich zwee schiene naue Heiser in eiern Gorten baue.;
korrigiert: Link;39/29;11607;Lumpzig;LUMPZIG;12,26812;50,94846;141924;1;Marburg;77;Lateinschrift;Hause;au;Henger uns'n Hause stiehn drei schine Aeppelbeemchen mit ruthen Aeppelchen. ;;Heiser;ei;Sei Bruder will sich zwe schiene naue Heiser in aiern Gorten baue.;
korr. Link;63/43;1162;Sierakowo;SIERAKOWO;18,85888;53,17872;160911;1;Marburg;1;Kurrent;Hus;u;Hinge oasem Hus stoane drei schmokke Appelbömkes möt rode Aeppelkes.;;Hüse;ü;Sieh Braude wö sök twei schmock nigg Hüse e jugge Goade bugge.;
korrigiert: Link;33/25;11645;Gleismuthhausen;GLEISMUTHHAUSEN;10,74168;50,23953;88799;1;Marburg;4;Kurrent;Haus;au;Hinter euern Haus stehn drei schöna Öpfelbamla mit ruata Öpfela.;;Häusr;äu;Sei Brudr will sich zwä schöne neua Häusr nei euern Goatn bau.;
korrigiert: Link;35/25;11673;Mitwitz;MITWITZ;11,20975;50,24786;92402;1;Marburg;4;Kurrent;Haus;au;Hinte unern Haus stèhna drei schöna Öpfelbamla mit rutn Öpfeln.;;Häuse;äu;Sei Brude will sich zwa schöna neua Häuse in euern Ga̰ten baue.;
korrigiert: Link;32/25;11763;Aub;AUB;10,4955;50,24929;79021;1;Marburg;4;Kurrent;Haus;au;Hiner uner Haus ston 3 schöna Öpfelbömlich mit ròta Öpfel. ;;Häuser;äu;Sei Bruder will sich zwä schöna neua Häuser in euern Gòrtn bau.;
korrigiert: Link;51/43;1178;Sokoliniec;SOKOLINIEC;15,50003;53,29161;147552;1;Marburg;2;Kurrent;Hus;u;Hinne osem Hus stoa dre Abbaböm mit roga Äpla. ;;;;[Satz 33 fehlt, dafür Satz 35 zweimal];
korr.: Link;34/25;11805;Seidmannsdorf;SEIDMANNSDORF;11,00025;50,2494;85535;1;Marburg;19;Kurrent;Haus;au;Hint'r unnern Haus schtennâ drei schönâ Oepf'lbâmlâ mit ruâthn Oepfln.;;Heus'r;eu;Sei Brudr will sich zwee schönȃ neuȃ Heus'r in euȃrn Gart'n bau.;
korrigiert: Link;36/25;11825;Wallenfels;WALLENFELS;11,47316;50,26759;81384;1;Marburg;4;Kurrent;Haus;au;Hinta unerm Haus stiehn drei schöna Öpfelbamla mit ruothen Öpfela.;;Häuse;äu;Sei Bruede will sie zwa schöna neua Häuse in euen Gatn bau.;
korrigiert: Link;37/25;11844;Neudorf;NEUDORF;11,76361;50,27631;84316;1;Marburg;4;"Kurrent; Anmerkung des Lehrers am Anfang von Seite 1: a̽ = helles a; Anmerkung des Lehrers am Ende von Seite 1: Anmerkung: Das mit  ̽versehene a ist das Mittelding zwischen a und ei.";Haus;au;Hinter unnern Haus stenga drei schöna Epfelba̽mla mit ruten Epfeln. ;;Heiser;ei;Sei Brouder will sich zwa schöna̽ neia Heiser in eiern Gartn baua.;
korrigiert: Link;38/25;11864;Draisendorf;DRAISENDORF;12,0103;50,28274;87879;1;Marburg;4;Kurrent;Haus;au;Hinter unnern Haus stènga drei schéna Epf'lbamla mit rut'n Epfălĕn.;;Hăiser;ăi;Sein Bruder will sich zwa schéna neia Hăiser in eiern Gart'n baua.;
korr. Link;39/25;11881;Sohl;SOHL;12,28319;50,27688;141286;1;Marburg;1;Lateinschrift;haus;au;Hint'r unnern haus stenge drei schiäne Öpf'lbäumle mit raut'n [weitere Übersetzung fehlt];;heis’r;ei;Sei broud'r will sich zwa schiäne neie heis'r in enkern gart'n baue.;
korr. Link;32/26;11896;Sülzdorf;SￃﾜLZDORF;10,49026;50,41091;142488;1;Marburg;1;Kurrent;Haus;au;Henner onner Haus schtönn dri schöne Epfelbeehmlich mit ruathe Epfelich -;;Häuse;äu;Sā Brudr will sich zwe schön̄a neue Häuse nai euern Gorte bau.;
korrigiert: Link;52/43;1192;Debsko;DEBSKO;15,85412;53,25859;370665;1;Marburg;2;Kurrent;Hus’;u;Hinne oasem Hus' stauê dre schöan Appaböömkes mit rohde Äppakes. ;;Hüse;ü;Siê Brodê wi sik twe schöan Hüse i juge Goade bugê.;
korr. Link;34/26;11927;Bachfeld;BACHFELD;10,97928;50,40853;138479;1;Marburg;1;Kurrent;Haus;au;Hinter un̄ern Haus stenn drei schönne Äpfelbämle met rotten Äpfelen.;;Häuser;äu;Sei Bruder will sich zwä schönna Häuser in euern Garten bau.;
korrigiert: Link;53/43;1197;Plociczno;PLOCICZNO;16,12236;53,27292;163085;1;Marburg;2;Kurrent;Hus;u;Hinne osem Hus stoa dre schön Äppelbämke met rode Äppakes.;;Hüse;ü;Sia Brode we sich twe nig Hüse e jugem Goada buga.;
korr. Link;54/43;1203;Nakielno;NAKIELNO;16,30259;53,26242;148733;1;Marburg;1;Kurrent;Hus;u;Hina osem Hus stauha dre schöha Äpabömkas mett rotha Äpakas.;;Hüse;ü;Sia Brode will sick dwe schöa nig Hüse in jugem Gauta buga.;
korr. Link;33/26;12037;Hildburghausen;HILDBURGHAUSEN;10,73533;50,42423;141347;1;Marburg;1;Kurrent;Haus;au;Hint'r un̄ern Haus sten̄ drei schön̄e Öpfelbāmle mit rothe Öpfele.;;Häus’r;äu;Sei Brud'r will sich zwä schön̄e neue Häus'r in euern Gårt'n bau.;
korr. Link;35/26;12070;Neuenbau;NEUENBAU;11,24222;50,44197;140391;1;Marburg;1;Kurrent;Haus;au;Hinter un̄ern Haus stenne drei schöäne Öpfelbamle mit ruthen Öpfelen.;;Häuser;äu;Sei Bruder will sich zwe schöäne neue Häuser in euern Garten bau.;
korr. Link;55/43;1208;Wissulke (Wiesiółka);WISSULKE (WIESIￃﾓￅﾁKA);16,62174662;53,26616634;541572;1;Marburg;1;Kurrent;Hus’;u;Hinnä osäm Hus' stauhä dree grell Appabömkä's mett rode Aeppakä. ;;Hüse;ü;Siä Brode wi sick zwe grell nig Hüse i juggäm Gaudä buggä.;nig: oder nij? (letzter Buchstabe korrigiert)
korr. Link;36/26;12085;Grumbach;GRUMBACH;11,50062;50,42866;136850;1;Marburg;1;Kurrent;Haus;au;Hinter unnern Haus stenn 3 schiene Epfelbåhmlå mit ruth'n Epfeln. ;;Heiser;ei;Sei Bruder will sich zwä schienå neiå Heiser in eiern Garten bau.;
korr. Link;37/26;12104;Frössen;FRￃﾖSSEN;11,76687;50,44079;138073;1;Marburg;1;Kurrent;Haus;au;Hinter unnern Haus stänne 3 scheene Epfelbāmle mit ruth'n Epfel'ne.;;Heiser;ei;Sei Brouder will sich zwā scheene neie Heiser in eiern Garten baue.;
korr. Link;38/26;12125;Schwand;SCHWAND;12,0079;50,43389;142268;1;Marburg;1;Kurrent;Haus;au;Hinter unnerm Haus stännne drei schiäne Epfelbämle mit ruethn Epfeln. ;;Heiser;ei;Sei Bruder will siech zwä schiene neie Heiser in eiern Gartn baue.;
korr. Link;39/26;12148;Kottengrün;KOTTENGRￃﾜN;12,28579;50,43672;140507;1;Marburg;1;Kurrent;Haus;au;Hin̄er unern Haus sten̄n drei schiene Öpfelbäumle mit ruothen Öpfele. ;;Häuser;äu;Sei Bruder will siech zwu schiene neue Häuser in euern Garten baue.;
korr. Link;56/43;1215;Paruszka;PARUSZKA;16,90232;53,26649;371585;1;Marburg;1;Kurrent;Hus;u;Hinnä usem Hus staun drei grell Äpelböhm mit rohde Aepp'le.;;Hüse;ü;Sihä Brode wi sick twe grell nig Hüse ih gugem Hoff buggä.;
korr. Link;32/27;12153;Meiningen;MEININGEN;10,41715;50,57103;137045;1;Marburg;1;Lateinschrift;Haus;au;Henner unsern Haus stän drei schöne Aeppelbämle mit rothe Äpfel. ;"rothe: darunter steht (ruete); (als Alternative?)";Häuser;äu;Sei Bruder will sich zwä schönne neue Häuser in euern Gäste bau.;
korr. Link;33/27;12167;Altendambach;ALTENDAMBACH;10,71167;50,55906;137465;1;Marburg;1;Kurrent;Haus;au;Hen̄a onörn Haus sten̄ drei schön̄a Aepfölbämla mit ruötä Aepföllä.;;Häusör;äu;Sei Brudör will sich zwee schönnä Häusör nei euön Gärtä bau.;
korr. Link;34/27;12184;Altenfeld;ALTENFELD;10,96068;50,56467;137776;1;Marburg;1;Kurrent;Haus;au;Hinter unsern Haus stenn drei schönne Oepfelbemer mit schönne rotte Öpfel. ;;Häuser;äu;Sa Bruder will sich zwee schön̄e, neue Häuser in euern Garte bau.;
korr. Link;35/27;12341;Rohrbach;ROHRBACH;11,21968;50,60225;142205;1;Marburg;1;Kurrent;Hause;au;Henger ons'n Hause sten drei schöne Apflbämgn met ruothn Apfln. ;;Häuser;äu;Sei Brudr wiel siech zwä schiene Häuser in eurn Guartn baube.;
korr. Link;36/27;12371;St. Jacob bei Leutenberg;ST. JACOB BEI LEUTENBERG;11,47786231;50,58586587;542249;1;Marburg;1;Kurrent;Haus;au;Hinter unsren Haus stihn drei schine Epfalbäme mit ruthen Epfelchen.;;Heiser;ei;Sei Bruder will sich zwä schiene naue Heiser in eiern Garten baue.;
korr. Link;37/27;12390;Neundorf (bei Schleiz);NEUNDORF (BEI SCHLEIZ);11,76828;50,60092;136605;1;Marburg;1;Kurrent;Haus;au;Hind'r un̄ern Haus sten drei schiene Epfelbämle mit ruth'n Epf'll'n.;;Heis’r;ei;Sei Bråud'r will s'ch zwe schiene neue Heis'r in eiern Gart'n baun.;
korr. Link;38/27;12410;Ebersgrün;EBERSGRￃﾜN;12,0133;50,59065;138329;1;Marburg;1;Kurrent;Haus;au;Hinter eiern Haus stenne drei schene Epfelbe͞imle mit ruten Epfelin.;;Heiser;ei;Sei Bruder will sich zwe͞i schene neie Heiser in eiern Gart'n baue.;
korr. Link;39/27;12428;Roitzschau/Rotschau;ROITZSCHAU/ROTSCHAU;12,28681029;50,61279344;542252;1;Marburg;1;Kurrent;Haus;au;Hin̄er un̄ern Haus schtän̄a Äpflbaamla mit ruothn Aepfln.;;Haisr;ai;Sei Brudr will sich zwee neie Haisr in eiern Gartn baua.;
korrigiert: Link;34/24;12496;Horsdorf;HORSDORF;11,01356;50,08352;83929;1;Marburg;4;Lateinschrift;Haus;au;Hinte unem Haus schtehn drei schönä Öpflbamla mit ruhta Öpfela.;;Häuse;äu;Sei Brude will sich zwa schöna neua Häuse in euen Gat'n bau.;
korrigiert: Link;36/24;12529;Ködnitz;KￃﾖDNITZ;11,52863;50,0917;90390;1;Marburg;4;Kurrent;Haus;au;Hinter unern Haus stehnga drei Äpflbämla mit drei ruten Äpfella. ;;Häuser;äu;Sei Brude will sich zwa schöna Häuser nei eiern Gatn baua;
korrigiert: Link;37/24;12556;Kornbach;KORNBACH;11,78865;50,09627;73525;1;Marburg;4;Kurrent;Haus;au;Hiner unern Haus stenga drei schöna Epfelbām mit rut'n Epfèlen. ;;Häuser;äu;Sein Bruder will sich zwa schena neua Häuser in euern Gart'n baua.;
korrigiert: Link;38/24;12572;Habnith;HABNITH;12,01162;50,11446;92759;1;Marburg;4;"Kurrent; Anmerkung des Lehrers am Ende von Seite 1: Bemerkg: Der Anlaut ""g"" wird in dem vorstehenden Dialekt wie ""k"" gesprochen.";Haus;au;Hinta unserm Haus stänga drei schöine Öpfelbäumla mit rautn Äpfeln. ;;Häusa;äu;Sa̰ Brouda will sie (sich) zwa schöina neua Häusa in enken (euerm) Garten baua.;
korrigiert: Link;32/24;12594;Uchenhofen;UCHENHOFEN;10,47912;50,0693;92995;1;Marburg;4;Kurrent;Haus;au;Hinner unserm Haus stönn zwä schöane Öpfelbamlich mit rate Öpfalig.;;Häuser;äu;Sei Bruader will sich zwei schöana Häuser en' euern Garten bau.;
korrigiert: Link;33/24;12616;Reutersbrunn;REUTERSBRUNN;10,75411;50,07607;81117;1;Marburg;4;Kurrent;Haus;au;Hin'r unern Haus stiahn drei schöne Öpflbamlich mit ruothe Öpflich.;;Häusr;äu;Sei Brudr will sich zwa neue Häusr in unnern Garte bau.;
korrigiert: Link;35/24;12656;Weismain;WEISMAIN;11,23885;50,08397;87919;1;Marburg;4;"Kurrent; Anmerkung des Lehrers am Ende von Seite 1: /:Es wird hier/: e als ä und ä als e gesprochen:/";Haus;au;Hinerm Haus stehn drei schöna Öpfelbamla mit ruta Öpfela.;;Häuse;äu;Sei Bruäder will sich a Poor Häuse nei euen Gat'n baua.;
